,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
153,Hypertension Primary Malignancy_Other Skin and subcutaneous tissue,Hypertension,Primary Malignancy_Other Skin and subcutaneous tissue,0.99,0.98,0.99,<0.0001,190.26,<0.0001,<0.0001,<0.0001,0
154,Essential tremor Primary Malignancy_Colorectal,Essential tremor,Primary Malignancy_Colorectal,0.99,0.92,1.06,0.71,0.32,0.57,0.72,0.72,0
155,Ulcerative colitis Hypothyroidism (without hyper),Ulcerative colitis,Hypothyroidism (without hyper),0.99,0.95,1.03,0.58,6.73,0.01,0.59,0.59,0
156,Primary Malignancy_Colorectal Coronary Heart Disease,Primary Malignancy_Colorectal,Coronary Heart Disease,0.99,0.97,1.01,0.27,1.13,0.29,0.28,0.28,0
157,Primary Malignancy_Colorectal Hyperplasia of prostate,Primary Malignancy_Colorectal,Hyperplasia of prostate,0.99,0.97,1.01,0.35,1.34,0.25,0.35,0.35,0
158,Primary Malignancy_Breast Spondylolisthesis,Primary Malignancy_Breast,Spondylolisthesis,0.99,0.94,1.04,0.69,14.04,<0.0001,0.7,0.7,0
159,Alcohol Problems Allergic and chronic rhinitis,Alcohol Problems,Allergic and chronic rhinitis,0.99,0.98,1,0.17,165.42,<0.0001,0.17,0.17,0
160,Peptic ulcer disease Retinal detachments and breaks,Peptic ulcer disease,Retinal detachments and breaks,0.99,0.94,1.04,0.7,0.79,0.37,0.7,0.7,0
161,Alcohol Problems Irritable bowel syndrome,Alcohol Problems,Irritable bowel syndrome,0.99,0.97,1.01,0.43,25.24,<0.0001,0.44,0.44,0
162,Tinnitus Alcohol Problems,Tinnitus,Alcohol Problems,0.99,0.97,1.01,0.38,53.37,<0.0001,0.39,0.39,0
163,Atrial fibrillation Primary Malignancy_Prostate,Atrial fibrillation,Primary Malignancy_Prostate,0.99,0.97,1.01,0.37,1.28,0.26,0.38,0.38,0
164,Allergic and chronic rhinitis Diabetes type 2,Allergic and chronic rhinitis,Diabetes type 2,0.99,0.98,1,0.1,781.13,<0.0001,0.1,0.1,0
165,Retinal detachments and breaks Peripheral arterial disease,Retinal detachments and breaks,Peripheral arterial disease,0.99,0.94,1.05,0.82,0.02,0.89,0.83,0.83,0
166,Anxiety disorders Primary Malignancy_Colorectal,Anxiety disorders,Primary Malignancy_Colorectal,0.99,0.98,1.01,0.61,16.97,<0.0001,0.62,0.62,0
167,Asthma Primary Malignancy_Breast,Asthma,Primary Malignancy_Breast,1,0.98,1.01,0.6,8.58,<0.0001,0.61,0.61,0
168,Abdominal aortic aneurysm Allergic and chronic rhinitis,Abdominal aortic aneurysm,Allergic and chronic rhinitis,1,0.96,1.03,0.81,2.82,0.09,0.81,0.81,0
169,Primary Malignancy_Colorectal Transient ischaemic attack,Primary Malignancy_Colorectal,Transient ischaemic attack,1,0.96,1.03,0.81,1.71,0.19,0.81,0.81,0
170,Peripheral arterial disease Primary Malignancy_Other Skin and subcutaneous tissue,Peripheral arterial disease,Primary Malignancy_Other Skin and subcutaneous tissue,1,0.98,1.02,0.87,16.88,<0.0001,0.87,0.87,0
171,Vitamin B12 deficiency anaemia Primary Malignancy_Prostate,Vitamin B12 deficiency anaemia,Primary Malignancy_Prostate,1,0.97,1.03,0.99,0.05,0.83,0.99,0.99,0
172,Primary Malignancy_Breast Transient ischaemic attack,Primary Malignancy_Breast,Transient ischaemic attack,1,0.97,1.03,0.98,2.67,0.1,0.98,0.98,0
173,Primary Malignancy_Breast COPD,Primary Malignancy_Breast,COPD,1,0.98,1.03,0.93,10.85,<0.0001,0.93,0.93,0
174,Anxiety disorders Diabetes type 2,Anxiety disorders,Diabetes type 2,1,0.99,1.01,0.67,164.07,<0.0001,0.68,0.68,0
175,Glaucoma Primary Malignancy_Bladder,Glaucoma,Primary Malignancy_Bladder,1,0.97,1.04,0.92,8.37,<0.0001,0.92,0.92,0
176,Primary Malignancy_Prostate Gout,Primary Malignancy_Prostate,Gout,1,0.98,1.02,0.82,6.95,0.01,0.82,0.82,0
177,Enthesopathies of the shoulder Primary Malignancy_Breast,Enthesopathies of the shoulder,Primary Malignancy_Breast,1,0.99,1.02,0.77,48.95,<0.0001,0.78,0.78,0
178,Raynaud's syndrome Primary Malignancy_Colorectal,Raynaud's syndrome,Primary Malignancy_Colorectal,1,0.94,1.07,0.94,0.43,0.51,0.94,0.94,0
179,Gastro-oesophageal reflux disease Primary Malignancy_Colorectal,Gastro-oesophageal reflux disease,Primary Malignancy_Colorectal,1,0.98,1.02,0.82,1.73,0.19,0.82,0.82,0
180,Alcohol Problems Tendon disorders,Alcohol Problems,Tendon disorders,1,0.99,1.02,0.63,1.44,0.23,0.64,0.64,0
181,Glaucoma Coronary Heart Disease,Glaucoma,Coronary Heart Disease,1,0.99,1.02,0.63,0.01,0.94,0.64,0.64,0
182,Urolithiasis Hypothyroidism (without hyper),Urolithiasis,Hypothyroidism (without hyper),1,0.98,1.03,0.8,6.27,0.01,0.8,0.8,0
183,Allergic and chronic rhinitis All stroke,Allergic and chronic rhinitis,All stroke,1,0.99,1.02,0.66,20.67,<0.0001,0.66,0.66,0
184,All stroke Chronic sinusitis,All stroke,Chronic sinusitis,1,0.98,1.02,0.7,1.42,0.23,0.71,0.71,0
185,Hypothyroidism (without hyper) Primary Malignancy_Breast,Hypothyroidism (without hyper),Primary Malignancy_Breast,1,0.99,1.02,0.59,19.58,<0.0001,0.59,0.59,0
186,Primary Malignancy_Prostate Transient ischaemic attack,Primary Malignancy_Prostate,Transient ischaemic attack,1.01,0.98,1.03,0.72,0.58,0.45,0.73,0.73,0
187,Polymyalgia Rheumatica Primary Malignancy_Colorectal,Polymyalgia Rheumatica,Primary Malignancy_Colorectal,1.01,0.96,1.05,0.81,8.5,<0.0001,0.81,0.81,0
188,Primary Malignancy_Prostate Raynaud's syndrome,Primary Malignancy_Prostate,Raynaud's syndrome,1.01,0.95,1.07,0.84,0,0.96,0.84,0.84,0
189,Asthma Primary Malignancy_Other Skin and subcutaneous tissue,Asthma,Primary Malignancy_Other Skin and subcutaneous tissue,1.01,0.99,1.02,0.32,11.05,<0.0001,0.33,0.33,0
190,"Schizophrenia, schizotypal and delusional disorders Primary Malignancy_Breast","Schizophrenia, schizotypal and delusional disorders",Primary Malignancy_Breast,1.01,0.95,1.07,0.81,0.33,0.57,0.81,0.81,0
191,Heart failure Irritable bowel syndrome,Heart failure,Irritable bowel syndrome,1.01,0.99,1.03,0.48,6.69,0.01,0.49,0.49,0
192,Glaucoma Atrial fibrillation,Glaucoma,Atrial fibrillation,1.01,1,1.02,0.11,1.21,0.27,0.12,0.12,0
193,Primary Malignancy_Prostate Peptic ulcer disease,Primary Malignancy_Prostate,Peptic ulcer disease,1.01,0.98,1.04,0.4,1.53,0.22,0.4,0.4,0
194,Glaucoma Heart failure,Glaucoma,Heart failure,1.01,0.99,1.03,0.17,0.04,0.84,0.18,0.18,0
195,Bursitis Diabetes type 2,Bursitis,Diabetes type 2,1.01,1,1.02,0.03,12.63,<0.0001,0.03,0.03,0
196,Hyperthyroidism (without hypo) Fibromatoses,Hyperthyroidism (without hypo),Fibromatoses,1.01,0.96,1.07,0.63,3.06,0.08,0.64,0.64,0
197,Primary Malignancy_Prostate Fibromyalgia,Primary Malignancy_Prostate,Fibromyalgia,1.01,0.91,1.13,0.82,0.36,0.55,0.82,0.82,0
198,Thromboembolic Fibromatoses,Thromboembolic,Fibromatoses,1.01,0.98,1.05,0.38,3.84,0.05,0.38,0.38,0
199,Fibromatoses All stroke,Fibromatoses,All stroke,1.01,0.99,1.04,0.28,0.83,0.36,0.29,0.29,0
200,Retinal detachments and breaks Heart failure,Retinal detachments and breaks,Heart failure,1.01,0.97,1.06,0.49,0,0.95,0.5,0.5,0
201,All stroke Tinnitus,All stroke,Tinnitus,1.02,1,1.03,0.1,2.31,0.13,0.1,0.1,0
202,Essential tremor Glaucoma,Essential tremor,Glaucoma,1.02,0.98,1.06,0.38,1.15,0.28,0.38,0.38,0
203,Sleep apnoea Fibromatoses,Sleep apnoea,Fibromatoses,1.02,0.98,1.06,0.41,13.05,<0.0001,0.42,0.42,0
204,Retinal detachments and breaks Primary Malignancy_Bladder,Retinal detachments and breaks,Primary Malignancy_Bladder,1.02,0.93,1.11,0.71,5.36,0.02,0.71,0.71,0
205,COPD Migraine,COPD,Migraine,1.02,1,1.04,0.05,4.57,0.03,0.06,0.06,0
206,Atrial fibrillation Female genital prolapse,Atrial fibrillation,Female genital prolapse,1.02,1,1.03,0.03,44.42,<0.0001,0.03,0.03,0
207,Primary Malignancy_Breast Tinnitus,Primary Malignancy_Breast,Tinnitus,1.02,1,1.04,0.12,23.74,<0.0001,0.13,0.13,0
208,Primary Malignancy_Breast Ischaemic stroke and TIA,Primary Malignancy_Breast,Ischaemic stroke and TIA,1.02,0.99,1.05,0.19,0.36,0.55,0.19,0.19,0
209,Primary Malignancy_Prostate Chronic kidney disease,Primary Malignancy_Prostate,Chronic kidney disease,1.02,1,1.03,0.03,7.31,0.01,0.03,0.03,0
210,"Transient ischaemic attack Schizophrenia, schizotypal and delusional disorders",Transient ischaemic attack,"Schizophrenia, schizotypal and delusional disorders",1.02,0.95,1.09,0.58,17.57,<0.0001,0.59,0.59,0
211,"Peripheral arterial disease Schizophrenia, schizotypal and delusional disorders",Peripheral arterial disease,"Schizophrenia, schizotypal and delusional disorders",1.02,0.95,1.09,0.61,13.01,<0.0001,0.62,0.62,0
212,Rheumatoid Arthritis Female genital prolapse,Rheumatoid Arthritis,Female genital prolapse,1.02,0.99,1.05,0.2,3.16,0.08,0.21,0.21,0
213,Primary Malignancy_Breast Hypertension,Primary Malignancy_Breast,Hypertension,1.02,1.01,1.03,<0.0001,0.28,0.6,<0.0001,<0.0001,0
214,Hypertension Irritable bowel syndrome,Hypertension,Irritable bowel syndrome,1.02,1.01,1.03,<0.0001,13.22,<0.0001,<0.0001,<0.0001,0
215,Iron deficiency anaemia Fibromatoses,Iron deficiency anaemia,Fibromatoses,1.02,0.99,1.05,0.15,12.21,<0.0001,0.16,0.16,0
216,Obesity Primary Malignancy_Breast,Obesity,Primary Malignancy_Breast,1.02,1,1.04,0.01,0.87,0.35,0.01,0.01,0
217,Chronic kidney disease Alcohol Problems,Chronic kidney disease,Alcohol Problems,1.02,1,1.04,0.01,1.75,0.19,0.01,0.01,0
218,Urolithiasis COPD,Urolithiasis,COPD,1.02,1,1.04,0.05,57,<0.0001,0.05,0.05,0
219,Retinal detachments and breaks Hyperthyroidism (without hypo),Retinal detachments and breaks,Hyperthyroidism (without hypo),1.02,0.95,1.1,0.58,1.68,0.19,0.59,0.59,0
220,Peptic ulcer disease Glaucoma,Peptic ulcer disease,Glaucoma,1.02,1,1.04,0.05,1.72,0.19,0.06,0.06,0
221,Peripheral arterial disease Tinnitus,Peripheral arterial disease,Tinnitus,1.02,1,1.05,0.08,6.98,0.01,0.09,0.09,0
222,Gastritis and duodeniti Primary Malignancy_Breast,Gastritis and duodeniti,Primary Malignancy_Breast,1.02,1,1.04,0.05,0,0.99,0.05,0.05,0
223,Primary Malignancy_Colorectal Ischaemic stroke and TIA,Primary Malignancy_Colorectal,Ischaemic stroke and TIA,1.02,0.99,1.05,0.17,0.24,0.62,0.17,0.17,0
224,Hypothyroidism (without hyper) Glaucoma,Hypothyroidism (without hyper),Glaucoma,1.02,1.01,1.04,<0.0001,0.07,0.8,0.01,0.01,0
225,Abdominal aortic aneurysm Retinal detachments and breaks,Abdominal aortic aneurysm,Retinal detachments and breaks,1.02,0.92,1.14,0.67,7.05,0.01,0.67,0.67,0
226,All stroke Primary Malignancy_Breast,All stroke,Primary Malignancy_Breast,1.02,1,1.05,0.08,0.01,0.92,0.08,0.08,0
227,Psoriasis Primary Malignancy_Breast,Psoriasis,Primary Malignancy_Breast,1.02,1,1.05,0.09,3.97,0.05,0.09,0.09,0
228,Coronary Heart Disease Primary Malignancy_Other Skin and subcutaneous tissue,Coronary Heart Disease,Primary Malignancy_Other Skin and subcutaneous tissue,1.02,1.01,1.04,<0.0001,43.27,<0.0001,<0.0001,<0.0001,0
229,Female genital prolapse Glaucoma,Female genital prolapse,Glaucoma,1.02,1.01,1.04,0.01,1.41,0.23,0.01,0.01,0
230,Glaucoma Gout,Glaucoma,Gout,1.02,1.01,1.04,<0.0001,6.2,0.01,<0.0001,<0.0001,0
231,Retinal detachments and breaks Chronic kidney disease,Retinal detachments and breaks,Chronic kidney disease,1.03,1,1.05,0.06,0.03,0.86,0.06,0.06,0
232,Retinal detachments and breaks Psoriasis,Retinal detachments and breaks,Psoriasis,1.03,0.98,1.07,0.24,0.44,0.51,0.25,0.25,0
233,Primary Malignancy_Breast Female genital prolapse,Primary Malignancy_Breast,Female genital prolapse,1.03,1.01,1.04,0.01,29.55,<0.0001,0.01,0.01,0
234,Enthesopathies of the lower body COPD,Enthesopathies of the lower body,COPD,1.03,1.01,1.04,<0.0001,5.42,0.02,<0.0001,<0.0001,0
235,Primary Malignancy_Breast Scoliosis,Primary Malignancy_Breast,Scoliosis,1.03,0.99,1.07,0.16,21.14,<0.0001,0.17,0.17,0
236,Female genital prolapse Gout,Female genital prolapse,Gout,1.03,1,1.05,0.03,0.1,0.76,0.03,0.03,0
237,Glaucoma COPD,Glaucoma,COPD,1.03,1.01,1.04,<0.0001,18.31,<0.0001,<0.0001,<0.0001,0
238,All stroke Primary Malignancy_Colorectal,All stroke,Primary Malignancy_Colorectal,1.03,1,1.06,0.09,0.05,0.82,0.09,0.09,0
239,Carpal tunnel syndrome Alcohol Problems,Carpal tunnel syndrome,Alcohol Problems,1.03,1.01,1.05,<0.0001,1.74,0.19,0.01,<0.0001,0
240,Urolithiasis Raynaud's syndrome,Urolithiasis,Raynaud's syndrome,1.03,0.97,1.09,0.3,0.04,0.84,0.31,0.31,0
241,Fibromatoses Hypothyroidism (without hyper),Fibromatoses,Hypothyroidism (without hyper),1.03,1,1.06,0.02,0.13,0.72,0.02,0.02,0
242,Atrial fibrillation Tinnitus,Atrial fibrillation,Tinnitus,1.03,1.02,1.04,<0.0001,77.74,<0.0001,<0.0001,<0.0001,0
243,Enthesopathies of the lower body Diabetes type 2,Enthesopathies of the lower body,Diabetes type 2,1.03,1.02,1.04,<0.0001,24.26,<0.0001,<0.0001,<0.0001,0
244,Primary Malignancy_Colorectal Depression,Primary Malignancy_Colorectal,Depression,1.03,1.01,1.05,<0.0001,0.15,0.7,<0.0001,<0.0001,0
245,Tinnitus Primary Malignancy_Bladder,Tinnitus,Primary Malignancy_Bladder,1.03,0.99,1.07,0.14,8.92,<0.0001,0.14,0.14,0
246,Tendon disorders All stroke,Tendon disorders,All stroke,1.03,1.02,1.04,<0.0001,4.22,0.04,<0.0001,<0.0001,0
247,Rheumatoid Arthritis Anxiety disorders,Rheumatoid Arthritis,Anxiety disorders,1.03,1.01,1.05,<0.0001,0.81,0.37,<0.0001,<0.0001,0
248,Hyperplasia of prostate All stroke,Hyperplasia of prostate,All stroke,1.03,1.02,1.05,<0.0001,9.72,<0.0001,<0.0001,<0.0001,0
249,Primary Malignancy_Bladder Enthesopathies of the shoulder,Primary Malignancy_Bladder,Enthesopathies of the shoulder,1.03,1,1.06,0.04,10.08,<0.0001,0.04,0.04,0
250,Sleep apnoea Osteoporosis,Sleep apnoea,Osteoporosis,1.03,1.01,1.06,0.02,13.88,<0.0001,0.02,0.02,0
251,Abdominal aortic aneurysm Tinnitus,Abdominal aortic aneurysm,Tinnitus,1.03,0.98,1.08,0.19,6.68,0.01,0.2,0.2,0
252,Primary Malignancy_Breast Glaucoma,Primary Malignancy_Breast,Glaucoma,1.03,1.01,1.06,0.01,0.3,0.58,0.01,0.01,0
253,Ulcerative colitis Fibromatoses,Ulcerative colitis,Fibromatoses,1.03,0.97,1.1,0.32,1.88,0.17,0.33,0.33,0
254,Alcohol Problems Enthesopathies of the shoulder,Alcohol Problems,Enthesopathies of the shoulder,1.03,1.02,1.05,<0.0001,1.03,0.31,<0.0001,<0.0001,0
255,Primary Malignancy_Colorectal Psoriasis,Primary Malignancy_Colorectal,Psoriasis,1.03,1,1.07,0.07,1.1,0.29,0.07,0.07,0
256,Heart failure Hyperplasia of prostate,Heart failure,Hyperplasia of prostate,1.04,1.02,1.05,<0.0001,42.37,<0.0001,<0.0001,<0.0001,0
257,Primary Malignancy_Breast Alcohol Problems,Primary Malignancy_Breast,Alcohol Problems,1.04,1,1.07,0.03,16.93,<0.0001,0.04,0.04,0
258,Migraine Primary Malignancy_Breast,Migraine,Primary Malignancy_Breast,1.04,1.01,1.06,<0.0001,15,<0.0001,<0.0001,<0.0001,0
259,Alcohol Problems Enthesopathies of the upper body,Alcohol Problems,Enthesopathies of the upper body,1.04,1.02,1.05,<0.0001,3.52,0.06,<0.0001,<0.0001,0
260,Urolithiasis Fibromatoses,Urolithiasis,Fibromatoses,1.04,1,1.07,0.04,23.5,<0.0001,0.04,0.04,0
261,Chronic kidney disease Primary Malignancy_Other Skin and subcutaneous tissue,Chronic kidney disease,Primary Malignancy_Other Skin and subcutaneous tissue,1.04,1.03,1.05,<0.0001,88.05,<0.0001,<0.0001,<0.0001,0
262,Scoliosis Atrial fibrillation,Scoliosis,Atrial fibrillation,1.04,1.01,1.07,0.01,76.78,<0.0001,0.01,0.01,0
263,Osteoarthritis (excl spine) Primary Malignancy_Bladder,Osteoarthritis (excl spine),Primary Malignancy_Bladder,1.04,1.02,1.06,<0.0001,38.3,<0.0001,<0.0001,<0.0001,0
264,Migraine Obesity,Migraine,Obesity,1.04,1.03,1.05,<0.0001,264.35,<0.0001,<0.0001,<0.0001,0
265,Thromboembolic Glaucoma,Thromboembolic,Glaucoma,1.04,1.02,1.06,<0.0001,0.47,0.5,<0.0001,<0.0001,0
266,All stroke Retinal detachments and breaks,All stroke,Retinal detachments and breaks,1.04,1,1.08,0.05,3.06,0.08,0.05,0.05,0
267,Primary Malignancy_Breast Abdominal aortic aneurysm,Primary Malignancy_Breast,Abdominal aortic aneurysm,1.04,0.92,1.17,0.52,1.32,0.25,0.53,0.53,0
268,All stroke Primary Malignancy_Other Skin and subcutaneous tissue,All stroke,Primary Malignancy_Other Skin and subcutaneous tissue,1.04,1.02,1.06,<0.0001,0.82,0.37,<0.0001,<0.0001,0
269,Primary Malignancy_Prostate Glaucoma,Primary Malignancy_Prostate,Glaucoma,1.04,1.02,1.07,<0.0001,0.4,0.53,<0.0001,<0.0001,0
270,Retinal detachments and breaks Essential tremor,Retinal detachments and breaks,Essential tremor,1.04,0.95,1.14,0.4,0.25,0.62,0.41,0.41,0
271,Primary Malignancy_Other Skin and subcutaneous tissue Heart failure,Primary Malignancy_Other Skin and subcutaneous tissue,Heart failure,1.04,1.02,1.06,<0.0001,58.04,<0.0001,<0.0001,<0.0001,0
272,Sleep apnoea Primary Malignancy_Colorectal,Sleep apnoea,Primary Malignancy_Colorectal,1.04,1,1.09,0.08,0.13,0.72,0.08,0.08,0
273,Glaucoma Primary Malignancy_Colorectal,Glaucoma,Primary Malignancy_Colorectal,1.04,1.01,1.07,<0.0001,1.34,0.25,<0.0001,<0.0001,0
274,Primary Malignancy_Colorectal Nonrheumatic valve disease,Primary Malignancy_Colorectal,Nonrheumatic valve disease,1.04,1.01,1.07,0.01,0.19,0.66,0.01,0.01,0
275,Glaucoma Chronic kidney disease,Glaucoma,Chronic kidney disease,1.04,1.03,1.05,<0.0001,0.19,0.66,<0.0001,<0.0001,0
276,Primary Malignancy_Colorectal Hearing loss,Primary Malignancy_Colorectal,Hearing loss,1.04,1.02,1.06,<0.0001,11.04,<0.0001,<0.0001,<0.0001,0
277,Glaucoma Primary Malignancy_Other Skin and subcutaneous tissue,Glaucoma,Primary Malignancy_Other Skin and subcutaneous tissue,1.04,1.03,1.06,<0.0001,1.8,0.18,<0.0001,<0.0001,0
278,Spondylolisthesis Primary Malignancy_Bladder,Spondylolisthesis,Primary Malignancy_Bladder,1.04,0.94,1.16,0.42,0.07,0.79,0.43,0.43,0
279,Tendon disorders Abdominal aortic aneurysm,Tendon disorders,Abdominal aortic aneurysm,1.04,1.01,1.08,0.01,2.78,0.1,0.02,0.02,0
280,Primary Malignancy_Bladder Hypothyroidism (without hyper),Primary Malignancy_Bladder,Hypothyroidism (without hyper),1.04,1,1.09,0.06,2.7,0.1,0.06,0.06,0
281,Diabetes type 2 Primary Malignancy_Breast,Diabetes type 2,Primary Malignancy_Breast,1.04,1.03,1.06,<0.0001,11.52,<0.0001,<0.0001,<0.0001,0
282,Hypertension Hyperplasia of prostate,Hypertension,Hyperplasia of prostate,1.05,1.04,1.05,<0.0001,48.59,<0.0001,<0.0001,<0.0001,0
283,Enthesopathies of the lower body All stroke,Enthesopathies of the lower body,All stroke,1.05,1.03,1.06,<0.0001,2.9,0.09,<0.0001,<0.0001,0
284,Retinal detachments and breaks Primary Malignancy_Colorectal,Retinal detachments and breaks,Primary Malignancy_Colorectal,1.05,0.98,1.12,0.18,2.32,0.13,0.19,0.19,0
285,Ulcerative colitis Gout,Ulcerative colitis,Gout,1.05,1,1.09,0.04,18.14,<0.0001,0.04,0.04,0
286,Carpal tunnel syndrome Osteoporosis,Carpal tunnel syndrome,Osteoporosis,1.05,1.03,1.06,<0.0001,34.01,<0.0001,<0.0001,<0.0001,0
287,Depression Primary Malignancy_Other Skin and subcutaneous tissue,Depression,Primary Malignancy_Other Skin and subcutaneous tissue,1.05,1.04,1.06,<0.0001,18.26,<0.0001,<0.0001,<0.0001,0
288,Chronic kidney disease Allergic and chronic rhinitis,Chronic kidney disease,Allergic and chronic rhinitis,1.05,1.04,1.06,<0.0001,220.81,<0.0001,<0.0001,<0.0001,0
289,Glaucoma Cholelithiasis,Glaucoma,Cholelithiasis,1.05,1.03,1.07,<0.0001,0.73,0.39,<0.0001,<0.0001,0
290,Cataract Primary Malignancy_Prostate,Cataract,Primary Malignancy_Prostate,1.05,1.03,1.06,<0.0001,1.63,0.2,<0.0001,<0.0001,0
291,Carpal tunnel syndrome Abdominal aortic aneurysm,Carpal tunnel syndrome,Abdominal aortic aneurysm,1.05,0.99,1.1,0.08,2.49,0.11,0.08,0.08,0
292,Atrial fibrillation Allergic and chronic rhinitis,Atrial fibrillation,Allergic and chronic rhinitis,1.05,1.04,1.06,<0.0001,153.51,<0.0001,<0.0001,<0.0001,0
293,Bursitis Alcohol Problems,Bursitis,Alcohol Problems,1.05,1.03,1.07,<0.0001,0.01,0.92,<0.0001,<0.0001,0
294,Carpal tunnel syndrome Primary Malignancy_Breast,Carpal tunnel syndrome,Primary Malignancy_Breast,1.05,1.03,1.07,<0.0001,23.94,<0.0001,<0.0001,<0.0001,0
295,Scoliosis Coronary Heart Disease,Scoliosis,Coronary Heart Disease,1.05,1.02,1.08,<0.0001,110.32,<0.0001,<0.0001,<0.0001,0
296,Heart failure Chronic sinusitis,Heart failure,Chronic sinusitis,1.05,1.03,1.07,<0.0001,9.97,<0.0001,<0.0001,<0.0001,0
297,Vitamin B12 deficiency anaemia Female genital prolapse,Vitamin B12 deficiency anaemia,Female genital prolapse,1.05,1.03,1.07,<0.0001,0.22,0.64,<0.0001,<0.0001,0
298,"Schizophrenia, schizotypal and delusional disorders Abdominal aortic aneurysm","Schizophrenia, schizotypal and delusional disorders",Abdominal aortic aneurysm,1.05,0.91,1.21,0.52,0.94,0.33,0.53,0.53,0
299,Allergic and chronic rhinitis Primary Malignancy_Breast,Allergic and chronic rhinitis,Primary Malignancy_Breast,1.05,1.03,1.07,<0.0001,10.32,<0.0001,<0.0001,<0.0001,0
300,Heart failure Female genital prolapse,Heart failure,Female genital prolapse,1.05,1.03,1.07,<0.0001,25.24,<0.0001,<0.0001,<0.0001,0
301,Enthesopathies of the lower body Primary Malignancy_Breast,Enthesopathies of the lower body,Primary Malignancy_Breast,1.05,1.03,1.07,<0.0001,26.6,<0.0001,<0.0001,<0.0001,0
302,Alcohol Problems Spondylolisthesis,Alcohol Problems,Spondylolisthesis,1.05,0.99,1.11,0.08,3.83,0.05,0.09,0.09,0
303,Migraine Gout,Migraine,Gout,1.05,1.03,1.07,<0.0001,66.31,<0.0001,<0.0001,<0.0001,0
304,Primary Malignancy_Colorectal Osteoporosis,Primary Malignancy_Colorectal,Osteoporosis,1.05,1.03,1.08,<0.0001,6.11,0.01,<0.0001,<0.0001,0
