"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"137","Irritable bowel syndrome","Enthesopathies of the shoulder",0.52,0.38,0.66,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","1, 2",0
"138","Urinary Incontinence","Irritable bowel syndrome",0.52,0.36,0.68,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the digestive system","1","2, 3",0
"139","Migraine","Fibromyalgia",0.52,0.4,0.63,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2, 3","1",0
"140","Abdominal aortic aneurysm","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.29,0.14,0.43,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","1, 2","1",0
"141","Tendon disorders","Irritable bowel syndrome",0.52,0.35,0.68,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","2, 3",0
"142","Enthesopathies of the upper body","Osteoarthritis (excl spine)",0.52,0.46,0.58,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","2, 3",1
"143","Tendon disorders","Peripheral arterial disease",0.52,0.37,0.66,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","1",0
"144","Depression","Gastro-oesophageal reflux disease",0.52,0.48,0.55,0.02,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the digestive system","3","2, 3",0
"145","Gastro-oesophageal reflux disease","Enthesopathies of the shoulder",0.52,0.46,0.57,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","2, 3","1, 2",0
"146","Abdominal aortic aneurysm","Hyperthyroidism (without hypo)",0.24,0.12,0.36,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"147","Iron deficiency anaemia","Vitamin B12 deficiency anaemia",0.52,0.32,0.71,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","1","1",1
"148","Alcohol Problems","Peripheral arterial disease",0.51,0.33,0.7,0.09,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","1","1",0
"149","Peripheral arterial disease","Obesity",0.51,0.42,0.61,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"150","Urinary Incontinence","Female genital prolapse",0.51,0.44,0.59,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the genitourinary system","1","1, 2",1
"151","Intervertebral disc disorders","Bursitis",0.51,0.37,0.66,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"152","Obesity","Spondylosis",0.51,0.45,0.57,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"153","Obesity","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.51,0.42,0.61,0.05,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the nervous system","1, 2","1",0
"154","Urinary Incontinence","Gastro-oesophageal reflux disease",0.51,0.44,0.58,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the digestive system","1","2, 3",0
"155","Carpal tunnel syndrome","Enthesopathies of the lower body",0.51,0.41,0.61,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"156","Urinary Incontinence","Enthesopathies of the lower body",0.51,0.38,0.64,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"157","Gastritis and duodeniti","COPD",0.51,0.44,0.58,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the respiratory system","1","1, 2",0
"158","Hypertension","Transient ischaemic attack",0.51,0.44,0.57,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1, 2",1
"159","Chronic sinusitis","Spondylosis",0.51,0.35,0.66,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"160","Peripheral arterial disease","Erectile dysfunction",0.51,0.29,0.72,0.11,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","1","1",0
"161","Enthesopathies of the upper body","Gastro-oesophageal reflux disease",0.5,0.44,0.57,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","2, 3",0
"162","Transient ischaemic attack","Nonrheumatic valve disease",0.5,0.39,0.61,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1, 2",1
"163","Peptic ulcer disease","Enthesopathies of the shoulder",0.5,0.41,0.59,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"164","Gastritis and duodeniti","Transient ischaemic attack",0.5,0.38,0.62,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","1","1, 2",0
"165","Tinnitus","Irritable bowel syndrome",0.5,0.27,0.72,0.11,"<0.0001","<0.0001","<0.0001","Diseases of the ear and mastoid process","Diseases of the digestive system","1, 2","2, 3",0
"166","Fibromyalgia","Osteoarthritis (excl spine)",0.5,0.39,0.6,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","2, 3",1
"167","Intervertebral disc disorders","Gastro-oesophageal reflux disease",0.5,0.44,0.55,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","2, 3",0
"168","Vitamin B12 deficiency anaemia","Peripheral arterial disease",0.5,0.27,0.72,0.11,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the circulatory system","1","1",0
"169","Tendon disorders","Peptic ulcer disease",0.5,0.39,0.6,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1, 2",0
"170","Insomnia","Gastro-oesophageal reflux disease",0.49,0.37,0.62,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","2, 3",0
"171","Gastro-oesophageal reflux disease","Anxiety disorders",0.49,0.45,0.54,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Mental and behavioural disorders","2, 3","1, 2",0
"172","Coronary Heart Disease","All stroke",0.49,0.42,0.56,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"173","Heart failure","All stroke",0.49,0.4,0.58,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"174","Chronic sinusitis","Gastro-oesophageal reflux disease",0.49,0.38,0.61,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","1","2, 3",0
"175","Hypertension","Obesity",0.49,0.46,0.53,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"176","Erectile dysfunction","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.49,0.29,0.69,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the nervous system","1","1",0
"177","Insomnia","Spondylosis",0.49,0.32,0.66,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"178","Spondylosis","Erectile dysfunction",0.49,0.34,0.64,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1","1",0
"179","Migraine","Irritable bowel syndrome",0.49,0.35,0.63,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1, 2, 3","2, 3",0
"180","Diabetes type 2","Erectile dysfunction",0.49,0.38,0.59,0.05,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the genitourinary system","2, 3","1",0
"181","Fibromyalgia","Peripheral arterial disease",0.49,0.26,0.71,0.12,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1",0
"182","Asthma","Chronic sinusitis",0.49,0.37,0.6,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the respiratory system","2, 3","1",1
"183","COPD","Alcohol Problems",0.49,0.41,0.57,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Mental and behavioural disorders","1, 2","1",0
"184","Diabetes type 2","Hypertension",0.48,0.45,0.52,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","2, 3","1, 2",0
"185","Peripheral arterial disease","Nonrheumatic valve disease",0.48,0.34,0.63,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1","1, 2",1
"186","Abdominal aortic aneurysm","Urinary Incontinence",0.17,0.05,0.3,0.06,"<0.0001","0.01","0.01","Diseases of the circulatory system","Diseases of the genitourinary system","1, 2","1",0
"187","Enthesopathies of the lower body","Obesity",0.48,0.4,0.56,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"188","Urinary Incontinence","Enthesopathies of the shoulder",0.48,0.4,0.56,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"189","Enthesopathies of the lower body","Peptic ulcer disease",0.48,0.33,0.63,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1, 2",0
"190","Irritable bowel syndrome","Asthma",0.48,0.35,0.61,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the respiratory system","2, 3","2, 3",0
"191","Enthesopathies of the lower body","Peripheral arterial disease",0.48,0.31,0.65,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","1",0
"192","Rheumatoid Arthritis","Polymyalgia Rheumatica",0.48,0.31,0.65,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","3","1",1
"193","COPD","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.48,0.37,0.59,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the nervous system","1, 2","1",0
"194","Intervertebral disc disorders","Enthesopathies of the upper body",0.48,0.41,0.54,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"195","Gastro-oesophageal reflux disease","Peripheral arterial disease",0.48,0.37,0.58,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1",0
"196","Peripheral arterial disease","Enthesopathies of the shoulder",0.48,0.36,0.6,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"197","Transient ischaemic attack","Peripheral arterial disease",0.48,0.31,0.64,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1",1
"198","Iron deficiency anaemia","Fibromyalgia",0.47,0.3,0.65,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1",0
"199","Spondylosis","Anxiety disorders",0.47,0.4,0.55,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","1","1, 2",0
"200","Abdominal aortic aneurysm","Cholelithiasis",0.16,0.05,0.27,0.06,"0.01","0.01","0.01","Diseases of the circulatory system","Diseases of the digestive system","1, 2","1, 2",0
"201","Anxiety disorders","Tinnitus",0.47,0.38,0.57,0.05,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the ear and mastoid process","1, 2","1, 2",0
"202","Insomnia","Osteoarthritis (excl spine)",0.47,0.34,0.6,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","2, 3",0
"203","Peripheral arterial disease","Enthesopathies of the upper body",0.47,0.33,0.61,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"204","Urinary Incontinence","Bursitis",0.47,0.3,0.64,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"205","Gastro-oesophageal reflux disease","COPD",0.47,0.43,0.51,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the respiratory system","2, 3","1, 2",0
"206","Gastro-oesophageal reflux disease","Transient ischaemic attack",0.47,0.39,0.55,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1, 2",0
"207","Insomnia","Enthesopathies of the upper body",0.47,0.31,0.62,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"208","Enthesopathies of the lower body","Spondylolisthesis",0.47,0.26,0.67,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"209","Atrial fibrillation","Ischaemic stroke and TIA",0.46,0.36,0.57,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1",1
"210","Heart failure","Transient ischaemic attack",0.46,0.37,0.56,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"211","Insomnia","Intervertebral disc disorders",0.46,0.34,0.58,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
